id	jp	en	source	confidence	notes
16012	参加する	Participate	Client/UIInfoData	high	JP↔EN same record ID
26073	アイテム名６７８９０１２３４５６	Item name６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
18012	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
31046	敵	Enemy	Client/UIInfoData	high	JP↔EN same record ID
31028	対象選択	Targeting	Client/UIInfoData	high	JP↔EN same record ID
21019	ウルズ	Uruz	Client/UIInfoData	high	JP↔EN same record ID
37083	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
26000	交換ラインナップ	Barter	Client/UIInfoData	high	JP↔EN same record ID
28052	インドラ	Indra	Client/UIInfoData	high	JP↔EN same record ID
1009	成功率	Success rate	Client/UIInfoData	high	JP↔EN same record ID
23001	アイテム倉庫リスト	Item Depository List	Client/UIInfoData	high	JP↔EN same record ID
18007	仲魔詳細	View Demon Information	Client/UIInfoData	high	JP↔EN same record ID
22073	レンタル悪魔倉庫８	Rental Demon Depot 8	Client/UIInfoData	high	JP↔EN same record ID
31069	破棄	Discard	Client/UIInfoData	high	JP↔EN same record ID
14004	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
23053	倉庫５	Depo 5	Client/UIInfoData	high	JP↔EN same record ID
31117	説明	Description	Client/UIInfoData	high	JP↔EN same record ID
15003	取り消す	Cancel	Client/UIInfoData	high	JP↔EN same record ID
37068	場所３４５６７８９０１２３４５６	Location３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
22080	レンタル悪魔倉庫９	Rental Demon Depot 9	Client/UIInfoData	high	JP↔EN same record ID
31049	範囲	Area	Client/UIInfoData	high	JP↔EN same record ID
24004	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
9046	閉じる	Close	Client/UIInfoData	high	JP↔EN same record ID
32000	引き継ぎ情報	Spiritual Infusion Inheritance Info	Client/UIInfoData	high	JP↔EN same record ID
37041	目的３４５６７８９０１２３４５６	Reason３４５６７８９０１２３４５６	Client/UIInfoData	high	JP↔EN same record ID
17068	ナウシズ	Nauthiz	Client/UIInfoData	high	JP↔EN same record ID
51000	リユニオン変換	Rebirth Conversion	Client/UIInfoData	high	JP↔EN same record ID
18010	リユニオンタイプを&#10;選択してください。	Select a growth type to allocate Mitama towards.	Client/UIInfoData	high	JP↔EN same record ID
20012	テイワズ	Tiwaz	Client/UIInfoData	high	JP↔EN same record ID
31058	GP制限	Grade Points	Client/UIInfoData	high	JP↔EN same record ID
53002	取り出す	Take Out	Client/UIInfoData	high	JP↔EN same record ID
31123	改造スロット	Modification Slots	Client/UIInfoData	high	JP↔EN same record ID
25008	指定なし	Unspecified	Client/UIInfoData	high	JP↔EN same record ID
31052	装備品	Equipment	Client/UIInfoData	high	JP↔EN same record ID
24009	ウィンドウカラー設定	Window Color	Client/UIInfoData	high	JP↔EN same record ID
36008	報告後、ブラックリストに登録する	Register to Blacklist	Client/UIInfoData	high	JP↔EN same record ID
