# term_id	en	jp	category	notes
macca	Macca	マッカ	currency	Event EN360/JP253; UI 18107/20046 Macca Cost; item 799
paper_currency_50000	Paper Currency (50,000 Macca)	マッカ紙幣	currency	Item 699 Reimagine name; event leftover マッカ紙幣 (e.g. 149820); never “Macca Note” (0 hits)
magnetite	Magnetite	マグネタイト	currency	Event EN118/JP98; item 800
mag_presser	MAG Presser α	マグ圧縮機	item	Item 27375; event e.g. 205137; keep Reimagine casing
magical_golden_apple	Magical Golden Apple	マジックゴールデンアップル	item	Item 21941
soul_stone	Soul Stone	魂合石	item	Peers 7918/7921 Supreme Palace Encl.; never Soul Union; Purple Forb. / Heavenly Mkt short forms for byte cap
otherworldly_magnetite	Otherworldly Magnetite	異界マグネタイト	item	Item 12922; peers Pure/Altered Magnetite
home_iii	Home III		place	Event Home III 67 hits; exact JP ホームIII/Ⅲ not found in CEventMessageData extract
suginami	Suginami	杉並	place	Event EN114/JP2; e.g. item/msg 1007 Suginami Tunnels Plate
comp	COMP	COMP	ui	Device / UI brand; keep as COMP
demon	Demon	悪魔	gameplay	Prefer Demon in EN; Devil mainly BinaryData type names
negotiation	Negotiation	交渉	gameplay	Event EN e.g. 309; JP leftovers remain
yagiya	Yagiya	山羊屋	shop	Event EN126/JP103; greeting 43200; never “Goat Shop” (0 hits)
yagi	Yagi	ヤギ	npc	Goat-like proprietors; shop brand is Yagiya
cathedral_of_shadows	Cathedral of Shadows	邪教の館	place	Event EN17/JP28; 50801 Welcome…; Pavilion of Heresy 0 hits
master_cathedral_of_shadows	Master of the Cathedral of Shadows	邪教の主	npc	Event e.g. 3611, 162208
beginners_zone	Beginner's Zone	初心者ゾーン	place	Event 200000 Welcome to the Beginner's Zone
comp_shop	COMP Shop	COMPショップ	shop	Event EN 100752 / JP leftover 193175
demon_depository	Demon Depository	悪魔倉庫	ui	UI 22017 pair; event EN 30; JP leftover 40014
spiritual_separation	Spiritual Separation	物霊分離	ui	A1 UIInfoData 1000; pair with Spiritual Infusion wording
material_tank	Material Tank	原料タンク	ui	CMessageData_System 965; A1 UIInfoData 2103
demon_buster	Demon Buster	デビルバスター	gameplay	Event EN218/JP96
tokyo	Tokyo	トウキョウ	place	EN Tokyo common; JP leftover トウキョウ / rare 東京
